"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC28A1",14.7462398989961,-1.50205965062721,0.234272938670996,-6.41157983994323,1.44019301333313e-10,1.28864242743468e-08
"TMSB15A",108.009256627716,-1.71013987161695,0.212238165505868,-8.05764536995898,7.77780714841828e-16,3.44804332356925e-13
"TFF1",16188.3381553296,1.51343443604224,0.301122779309465,5.02597126498651,5.0089089193621e-07,1.17644524239707e-05
"DCD",197.823722412855,-2.61315422892309,0.509718020271751,-5.12666636257026,2.94917463243503e-07,7.57926223719073e-06
"BRINP3",399.236690609954,1.79524992834115,0.469112489252914,3.82690712668975,0.000129763445952496,0.00116994027120379
"EN1",510.72780519284,-2.37235110049355,0.242052668337321,-9.8009706597718,1.11508878488531e-22,1.9773565307248e-19
"SPRR2D",1.58271061272817,-2.42472120847054,0.89083903295199,-2.7218398821566,0.00649195887145921,0.0272796531121679
"TAFA4",5.8815784018639,-1.61108677401463,0.325742449629118,-4.9458913809022,7.5796216551275e-07,1.65656134459291e-05
"CARTPT",38.7999529105708,-2.06975041163047,0.566027653096093,-3.65662419549508,0.000255558619920155,0.00202392466104854
"GDF9",345.276640207149,2.14866836806667,0.233627722400261,9.19697519622897,3.68167410830612e-20,4.10369915180681e-17
"FABP7",160.511901513913,-1.69426952054264,0.32375859411625,-5.23312601219872,1.66667032605608e-07,4.72873765527999e-06
"TLX3",1.19959845338641,-3.01719377530069,0.759174395943978,-3.97430918563715,7.05838231814398e-05,0.000714482643994377
"TBXT",0.758431518100097,-1.65147840565927,0.568100345441577,-2.90701883727179,0.00364891223636854,0.0173493435911285
"KCNV1",1.90037241403028,-2.11462343450018,0.446567855475237,-4.73527910388847,2.18753847689764e-06,3.98786219909957e-05
"SVOP",3.34657101254291,-1.81758895873228,0.360654772634298,-5.03969196208392,4.66281730020052e-07,1.10876832104988e-05
"NETO1",53.2363372893183,-1.52452806323701,0.249565301024705,-6.10873409475341,1.00424479950407e-09,6.80166633997442e-08
"LMO1",10.8208018460893,-1.52784124829444,0.302643603385295,-5.04831832295278,4.45716047657572e-07,1.07070655487791e-05
"CRABP1",710.482616541395,-1.76622750894601,0.318835807258893,-5.5396146503452,3.0313793537411e-08,1.14593189290841e-06
"A2ML1",325.198985358358,-2.96834055092574,0.296008167148036,-10.0279008499156,1.14934041585532e-23,2.63753342960869e-20
"UGT1A6",3.45311496345375,-3.2588731610825,0.590130639195133,-5.52229107359552,3.34607563691336e-08,1.24084698428958e-06
"LALBA",21.0755906906886,3.22943063486959,0.854076724137,3.78119499525381,0.00015607736039036,0.00135981488710307
"LY6D",52.6712656875901,-1.79704848150772,0.301374363500074,-5.96284455199615,2.47884221292143e-09,1.44335212552972e-07
"RCOR2",203.978454092953,-1.57760464111126,0.16979187143726,-9.29140263168724,1.52268286692852e-20,1.80008800013986e-17
"SOST",2.47009948795363,-1.53846514670664,0.320077882107707,-4.80653376164537,1.53569559446413e-06,2.98805768235583e-05
"PPDPFL",1.18597701565994,-2.13479734288051,0.709559689807175,-3.00862263393324,0.00262434863165197,0.0134024203191526
"SFTPC",1.61646733705459,-1.60442071451449,0.466220855451798,-3.44133192617415,0.000578857964678836,0.00393627451944409
"ADAM18",0.757179207049231,1.59313004415051,0.491854328342943,3.2390282088556,0.00119937710654239,0.00711853030281936
"RAB3B",448.428155114633,-1.59620066402495,0.230974160687663,-6.91073260867232,4.82157126507987e-12,7.55418225675886e-10
"CXCL10",3237.04537160738,-1.52021598891881,0.217312464857948,-6.99553055970599,2.642569729624e-12,4.60231831661122e-10
"SPRR1A",6.04789056848237,-1.8593201149581,0.494405048965949,-3.76072234465824,0.000169423404455728,0.00145099641215845
"CRCT1",1.00675484402469,1.94441187215779,0.698478568028493,2.78378172382016,0.00537291788836072,0.0235356245969828
"ZNF280A",1.59921369901304,-1.95341219723216,0.504251268753474,-3.87388652895422,0.000107113300806742,0.00100232767835755
"VSTM2A",1355.38269945801,1.65326320807399,0.470285378690955,3.51544675421521,0.000439014783543142,0.00314484846411771
"KRT75",34.4327392520756,-1.71157005673826,0.319642691792769,-5.3546353496732,8.57291285637922e-08,2.74361342373311e-06
"KRT6C",20.6156106527907,-1.84757772512353,0.320823920871899,-5.75885276915261,8.4687526908528e-09,3.96618223259963e-07
"KRT83",21.4356250528385,-1.80072326248238,0.300016238778731,-6.00208598645374,1.94798485929027e-09,1.19301075872264e-07
"MUC7",63.2756267311809,1.66034804251126,0.457575787180449,3.62857495747799,0.000284990006906286,0.00221210309379785
"OPRPN",242.938933364637,2.14709396032258,0.417109570904324,5.14755380862521,2.63905315211163e-07,6.93297923031509e-06
"KRT38",1.5627780680554,-2.45181451963182,0.517260304943473,-4.74000130340517,2.13716844105119e-06,3.90516230549362e-05
"KRT20",10.9064735923378,-3.26604610804353,0.448051505903176,-7.28944343454417,3.11238072715118e-13,6.93829696729267e-11
"KRT27",1.59888948829292,1.52514096419203,0.261559938491678,5.83094250972444,5.51151726907066e-09,2.79240664546733e-07
"CDK5R2",4.13238095070488,-1.58895885638365,0.355319630331193,-4.47191407607449,7.7522577405687e-06,0.000115167966098654
"FGA",22.1508900362519,-1.77138259716459,0.5589939243251,-3.16887629736453,0.00153029511442791,0.00865215550783504
"FGB",108.293475763723,-1.81668833401971,0.444259089919214,-4.08925416551424,4.32762451383927e-05,0.000479764954628865
"AZU1",81.5542425732922,1.55117426004893,0.238446773618439,6.50532710721893,7.7524500418301e-11,7.6761061175603e-09
"C11orf86",5.85052862204249,-3.31816782461713,0.48979085201996,-6.77466271763259,1.24696819970321e-11,1.6717087081382e-09
"GPR151",0.694612761408907,-1.52133949023146,0.486470720662394,-3.12729918906519,0.00176420293226143,0.00972243039883923
"CBY2",8.99464661164185,-2.15361825601561,0.369331400155392,-5.83112688254911,5.50543001939264e-09,2.79240664546733e-07
