"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BRINP3",400.971956080814,1.78459537736785,0.470109269088389,3.79612888898881,0.000146973106768777,0.00128516791192165
"EN1",512.888390806341,-2.38294041355427,0.241502463509759,-9.86714743577754,5.77845245843194e-23,1.39773541903896e-19
"SPRR2D",1.57204502892375,-2.41721417425053,0.904821910680545,-2.67148059271959,0.00755174392105324,0.0300069397569407
"TAFA4",5.90222756521645,-1.6203663984205,0.326508203613846,-4.96271266842922,6.95153835906443e-07,1.55873949926137e-05
"CARTPT",38.9788057499605,-2.08079696677714,0.565597900092053,-3.67893333132688,0.00023421147751937,0.00185899356090128
"GDF9",346.446393160524,2.14359112702442,0.234334942192793,9.14755224707732,5.82381255169249e-20,7.08330043522445e-17
"FABP7",161.164641091677,-1.70479712349365,0.323866082990273,-5.26389521172815,1.41034855012339e-07,4.16031323070698e-06
"TLX3",1.20058429424596,-3.02287655708569,0.770112406149536,-3.92524069596501,8.66430587851651e-05,0.000835391046612721
"TBXT",0.752902867609914,-1.63997468997236,0.574801682705818,-2.85311393357854,0.00432930967066652,0.0194874322952007
"KCNV1",1.89123901608786,-2.10957849213123,0.449557708191761,-4.6925643887111,2.69801578286029e-06,4.75928016537188e-05
"NGB",4.25033823254316,-1.50584297688462,0.314294596273264,-4.79118315981279,1.65800682916304e-06,3.2020050051032e-05
"NELL1",56.2063797612926,1.50097258148791,0.448816849910221,3.34428750121158,0.000824941997311645,0.00514618071888383
"SVOP",3.29597800752217,-1.79218484534497,0.36193843560962,-4.9516289761444,7.35948180170883e-07,1.63504110365795e-05
"NETO1",53.4345122950343,-1.53429260269693,0.24991787574842,-6.13918711537637,8.29448206029183e-10,5.80493751713227e-08
"LMO1",10.8679120922167,-1.5387151927951,0.301997964706535,-5.09511775779792,3.48524550715535e-07,8.72483645652822e-06
"CRABP1",713.577329302769,-1.77702125020184,0.319020908834839,-5.57023442974964,2.54396806043867e-08,1.00981181410356e-06
"A2ML1",326.303051878416,-2.97746727516095,0.296647956503116,-10.0370395611664,1.04771408232253e-23,3.11912541646512e-20
"UGT1A6",3.46377969628028,-3.26746045703947,0.594302076575438,-5.49797920254232,3.84168225735497e-08,1.42278264807801e-06
"LALBA",21.1512293300973,3.22423661102532,0.863014465242494,3.7360168813849,0.00018695812261469,0.0015543068162457
"LY6D",52.8774615130703,-1.80621973109315,0.301813298833019,-5.98455978605654,2.16975882323894e-09,1.31620699023501e-07
"RCOR2",204.73490916316,-1.58732175501004,0.169608855379796,-9.35871981127186,8.07086235973208e-21,1.20137890402443e-17
"SOST",2.48054682613617,-1.54937898013632,0.319426975464101,-4.85049510262933,1.23153674851375e-06,2.48892612224434e-05
"PPDPFL",1.18225990853562,-2.13249520350168,0.718541620391296,-2.96781027428918,0.00299929399432306,0.0146157990642522
"SFTPC",1.62348064179318,-1.61546806676698,0.465407038526603,-3.47108645344357,0.000518357082097423,0.00354818814844967
"ADAM18",0.743081136178206,1.67559464568835,0.493606597544584,3.39459531947809,0.00068730109955995,0.00444666117605637
"RAB3B",448.274291745231,-1.59829338229575,0.231751930128683,-6.89656988577518,5.3273163672113e-12,8.84883253406918e-10
"CXCL10",3250.52078234664,-1.53100471979708,0.216418454715023,-7.07427987975001,1.5022681702945e-12,2.95130876785471e-10
"SPRR1A",6.07439899919747,-1.87010606337719,0.49359219917243,-3.78876746130239,0.000151396541380605,0.00131582055794121
"CRCT1",1.01125801304838,1.93682979216549,0.697397751979461,2.77722402555512,0.00548253763587966,0.0233398779130375
"ZNF280A",1.59728030425435,-1.95477473207691,0.508206850160416,-3.84641555197433,0.000119858415070042,0.00108661522137286
"VSTM2A",1349.71818786559,1.69303820886046,0.471777541787632,3.58863671730811,0.00033241166038102,0.00246739472191528
