id	filename	md5	size	state
83edb9b8-e212-467c-be4a-714bcec948fb	c0838214-75ee-4668-85fe-4247b8e5ea1c.htseq.counts.gz	cba455f0f34a131e8a7dde9c0c1ae98d	252453	validated
855e2abd-839d-44dc-a450-3af46fb66e8d	6b51c7b1-a0ca-4599-8876-75b7f0269c64.htseq.counts.gz	5f60ed6492f4012f8b71f505b13ea798	255709	validated
85a4374d-150a-4f79-96fa-ffd9c11f6b35	3ab0577a-0d95-4f3b-9ec8-850820c5ecb3.htseq.counts.gz	2520f5be32353cb86260bbd4128eca40	255392	validated
8614d067-1d0d-4765-9020-81e55fb3f356	2bdbf400-8324-414c-8296-601d4a8c3eb0.htseq.counts.gz	993d22d9ab2e085530c6a757e739536d	258650	validated
8968b349-0207-4945-b77a-14439d34cb0f	7b9248cd-ed82-4b7b-8bda-81b6e8e8000c.htseq.counts.gz	c1dc06eb69c1d04a97e69948a70f275c	254830	validated
8997905f-23b7-4c4d-b4dd-aaa1ec7e8ad8	7acdfb7e-882e-43cb-a449-e1bff9869637.htseq.counts.gz	f68ef146c7233e1b567678fe3f30dd98	253318	validated
901167f2-a0df-441c-ad22-71c6adf8dc37	2d71fd22-4dd1-4954-87cf-a7c5879b8bec.htseq.counts.gz	423730970716b4b06e1e0ef23628e24c	255209	validated
90c7c999-2bc1-441d-bba5-fa5bcfe0aab4	cc50f15c-1da3-4fb9-83a2-a89057c96bf8.htseq.counts.gz	2705f5b43a23ad9498c24610d3e15296	251835	validated
94c24054-d094-40f6-8640-a6c905661f80	b5b60d8b-1977-4b67-8b23-63ca508027b0.htseq.counts.gz	9b6b8063dcf80920bdddb90fc575eba9	257866	validated
952cb36e-3a36-4aa6-8344-3dfe498e7c7b	a5de7a1d-cbce-4e2f-99bd-9b72e9f9405a.htseq.counts.gz	4850295ab4dec91d3bb2c1cabb8bac0b	258116	validated
954d2bad-5600-401b-816a-fc367df34a01	3ed0100a-dea2-4201-bb12-8646875a04b6.htseq.counts.gz	879f21bbd2ecf16e88c6a0248d819407	250530	validated
967eee42-3b91-4735-a914-3d950754c1e0	900a1913-f3b7-46ca-88be-c180a5fb5265.htseq.counts.gz	29c340dd72fc2b4449185e2790315a8b	249845	validated
9bc800dc-4549-47e6-817b-3097cefcd355	d827a931-364f-4e8f-8a50-d600f619be5f.htseq.counts.gz	4fe13bc003bbbfcdbfdb668dcd45bb16	256303	validated
9bdbd901-541e-47da-a4b4-80544222bcde	41734a51-fd66-4ef9-a7c7-481e19c7674f.htseq.counts.gz	aa105007d6f8291dca6cbcf5eb1a486e	252128	validated
a00fd49a-c11c-4db1-8cf0-698d3f23d7ce	b98a0c48-8404-47bd-a781-22dfc6c1475a.htseq.counts.gz	444221194aac75191aa788b7813a08b7	250216	validated
a175ecad-de0d-48eb-b53a-1047c9a50c39	63a5626e-aca1-4920-b101-eb5a66373fc0.htseq.counts.gz	39af81c22614931c6168d37980dcb693	251369	validated
a20214b3-e3f6-4950-93b1-d76ac00c50d5	ef647ec0-3322-4dd2-84ca-83bcd786b765.htseq.counts.gz	c32d403d80ae99353641a55d80481fbe	253486	validated
a7667d1e-b3f1-48d3-bf37-7f34770b0110	34dd0e22-1014-4fe5-8392-faddf79b0ad2.htseq.counts.gz	9b36fe2775341c5c6d27cfe6233e9569	252810	validated
aad5f8a9-f0a7-413e-8eaa-cb969759e98f	5270d12d-756c-40d7-8f5d-8e7ccdf24a48.htseq.counts.gz	f35c8699a662b0f282d3499b2b279614	258548	validated
ad0e58ab-9de2-4b4f-9ac0-385cc04414c8	7d83af5d-9bcf-4c82-a993-fa9053a9b3cb.htseq.counts.gz	865a9ff4166ec1dc9b6b5bdced4da872	255638	validated
ad1fa0a8-27c5-4e37-9620-786b01edc93d	04268bf5-f4de-4c02-bd76-a64ac21b6136.htseq.counts.gz	8bff1975555d90438b133605ae3fcf15	255829	validated
