"","TCGA-C8-A3M8-01A-11R-A213-07","TCGA-A7-A3J1-01A-11R-A213-07","TCGA-BH-A8FY-01A-11R-A36F-07","TCGA-BH-A8FZ-01A-11R-A352-07","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-OL-A66J-01A-11R-A29R-07","TCGA-EW-A1J3-01A-11R-A13Q-07","TCGA-E2-A14U-01A-11R-A22K-07","TCGA-B6-A40B-01A-11R-A239-07","TCGA-GM-A2DO-01A-11R-A18M-07","TCGA-LL-A440-01A-11R-A24H-07","TCGA-E2-A576-01A-11R-A31O-07","TCGA-E2-A1IH-01A-11R-A13Q-07","TCGA-B6-A0IP-01A-11R-A034-07","TCGA-D8-A4Z1-01A-21R-A266-07","TCGA-AR-A2LE-01A-11R-A180-07","TCGA-WT-AB44-01A-11R-A41B-07","TCGA-AR-A1AK-01A-21R-A12P-07","TCGA-AC-A3QQ-01B-06R-A22O-07","TCGA-E2-A1IJ-01A-11R-A144-07"
"AC002310.1",23,92,47,35,74,51,88,189,111,29,86,73,99,124,69,43,71,67,29,75
"AC002310.2",0,2,1,1,4,3,5,1,3,2,2,5,4,7,1,2,0,2,1,0
"AC002310.3",0,3,0,4,2,0,0,6,1,2,3,2,4,2,1,1,2,3,12,1
"AC002310.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002310.5",0,1,1,2,5,0,2,12,4,1,3,2,1,2,3,0,3,2,0,0
"AC002310.6",158,216,99,140,100,114,31,281,307,25,147,149,38,56,91,87,27,60,26,51
"AC002347.1",0,3,0,2,7,6,2,1,4,0,12,2,2,5,6,0,4,2,2,0
"AC002347.2",1,5,0,3,0,0,2,1,3,0,1,0,0,3,0,0,1,3,3,0
"AC002350.1",77,87,24,45,60,38,31,66,58,12,72,69,14,45,26,36,8,54,8,25
"AC002351.1",0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1
"AC002366.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"AC002367.1",5,4,3,1,0,1,12,4,3,2,2,2,4,19,0,0,0,1,1,3
"AC002368.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"AC002375.1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC002378.1",0,1,0,0,4,0,0,0,0,0,0,0,0,2,3,0,2,2,4,0
"AC002381.1",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,66,0
"AC002383.1",0,0,0,0,0,16,2,1,0,0,0,2,12,0,1,0,0,0,0,0
"AC002386.1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0
"AC002398.1",52,37,64,29,63,70,125,87,132,41,43,144,36,100,23,33,59,35,40,31
"AC002398.2",3,6,0,2,29,13,1,7,6,1,52,2,2,3,7,2,7,2,0,0
"AC002400.1",4,6,2,3,3,1,6,3,1,1,5,5,2,4,1,4,0,10,285,1
"AC002401.1",5,4,0,2,3,0,3,0,2,0,7,2,0,1,2,0,0,1,3,0
"AC002401.2",6,6,0,2,2,1,0,0,2,0,2,1,0,1,3,3,0,3,0,1
"AC002401.3",0,11,1,0,4,8,1,3,1,2,4,2,1,0,1,3,1,3,10,1
"AC002401.4",0,3,0,2,0,4,7,5,0,0,8,1,0,3,0,1,1,2,0,0
"AC002428.1",0,4,0,0,0,0,55,0,1,0,0,0,1,2,1,0,0,0,0,0
"AC002428.2",0,12,0,0,0,0,413,0,7,0,0,0,0,5,4,0,0,0,4,0
"AC002429.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC002429.2",1,0,0,1,0,0,0,2,0,0,6,1,0,0,3,0,0,0,39,0
"AC002451.1",11,15,3,14,12,3,4,25,1,2,20,5,11,12,6,10,5,10,7,4
"AC002451.2",0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0
"AC002454.1",2,1,0,2,10,1,3,2,6,0,7,8,33,4,0,1,9,1,4,1
"AC002456.1",3,14,0,6,9,7,39,3,11,16,21,22,11,5,18,1,10,74,0,8
"AC002456.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"AC002460.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002463.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002464.1",0,0,0,0,1,0,0,1,0,0,2,1,3,0,0,0,1,0,0,0
"AC002465.1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"AC002467.1",187,166,131,58,92,96,76,191,92,36,98,301,121,98,83,98,42,119,4,71
"AC002470.1",31,32,31,27,14,34,16,69,2,42,9,112,8,24,21,10,36,22,9,13
"AC002472.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002480.1",7,21,2,26,52,38,9,4,6,27,59,0,25,20,17,14,6,16,18,8
"AC002480.2",2,1,1,3,11,6,4,1,1,1,9,1,5,2,0,2,3,1,7,2
"AC002486.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002486.2",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002487.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002504.1",1,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0
"AC002511.1",14,5,32,1,9,1,1,1,2,2,2,0,5,2,1,1,0,1,0,0
"AC002511.2",12,6,23,1,2,1,1,1,9,0,0,1,2,1,0,1,0,4,3,0
"AC002519.1",6,8,4,3,6,0,61,10,3,1,15,1,5,4,8,2,0,3,6,5
"AC002519.2",2,0,0,4,2,1,9,2,5,0,1,2,4,2,1,1,0,0,0,3
"AC002524.1",1,5,1,15,9,14,7,18,7,0,12,0,9,11,13,3,1,3,0,7
"AC002525.1",15,44,20,10,32,90,56,34,77,18,19,11,57,31,19,60,29,5,198,18
"AC002540.1",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0
"AC002542.1",4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AC002543.1",5,4,0,0,0,0,2,1,0,1,0,3,1,5,0,0,2,0,44,0
"AC002545.1",2,3,0,0,1,3,1,1,1,0,0,2,4,2,0,0,3,0,0,0
"AC002546.1",0,38,0,3,55,29,2,15,0,0,23,1,11,10,3,0,3,6,10,0
"AC002550.1",0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0
"AC002550.2",33,36,13,11,22,32,46,38,11,17,25,33,36,43,20,21,13,18,37,10
"AC002551.1",2,3,1,1,2,1,8,1,1,1,2,34,15,1,2,0,0,1,76,0
"AC002553.1",58,135,84,63,79,71,111,125,96,63,105,22,68,128,67,45,35,59,81,17
"AC002553.2",19,52,32,17,24,25,27,29,12,21,43,14,13,28,16,20,27,19,4,3
"AC002558.1",5,7,1,2,4,3,1,2,1,1,3,21,2,3,0,3,0,1,7,0
"AC002558.2",1,1,2,0,0,0,4,1,0,1,0,6,2,3,0,0,0,0,42,0
"AC002558.3",2,4,0,1,0,1,0,2,0,0,1,5,1,2,0,0,0,0,94,3
"AC002563.1",1,3,0,2,0,4,2,2,1,2,0,0,1,2,0,1,1,1,5,0
"AC002984.1",1,2,1,1,1,0,8,4,0,0,1,1,5,2,7,2,0,0,17,3
"AC002985.1",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"AC002996.1",2,2,0,0,1,0,1,0,2,0,1,0,1,2,1,0,0,0,0,0
"AC003001.1",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0
"AC003001.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"AC003002.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003002.2",8,7,4,4,3,7,32,15,5,3,7,4,6,11,9,2,0,7,7,4
"AC003002.3",25,9,6,1,13,8,6,14,9,0,14,0,10,7,8,8,2,10,5,6
"AC003005.1",3,1,0,0,1,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0
"AC003005.2",10,3,0,0,4,2,2,1,5,1,1,15,1,3,3,4,2,1,0,0
"AC003006.1",4,4,2,2,0,0,0,5,5,0,3,1,0,4,2,5,0,4,0,0
"AC003009.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AC003035.1",4,6,2,9,7,3,39,9,2,5,4,0,0,2,5,2,1,14,2,3
"AC003035.2",0,0,1,0,0,0,2,4,0,0,2,0,0,0,0,0,0,1,5,0
"AC003043.1",0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,0,0
"AC003045.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003070.1",53,99,24,49,86,20,6,28,65,28,76,7,3,17,39,62,16,27,4,6
"AC003070.2",1,1,0,1,0,0,0,1,0,0,1,0,0,2,0,0,2,3,0,0
"AC003071.1",2,0,1,0,1,0,0,2,0,0,0,2,1,7,0,3,0,0,0,1
"AC003071.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003072.1",411,149,146,60,197,218,129,165,195,75,202,158,126,235,101,56,88,63,15,85
"AC003080.1",0,2,1,1,1,1,1,0,1,0,0,2,0,1,0,1,0,0,33,0
"AC003084.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003087.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003092.1",0,4,1,2,0,0,0,0,7,1,2,0,3,2,0,1,0,0,0,1
"AC003092.2",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"AC003098.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AC003101.1",2,3,0,5,1,0,2,2,0,0,4,4,2,0,0,0,0,0,26,0
"AC003101.2",10,6,10,23,7,30,3,20,23,9,9,72,1,6,5,2,12,0,21,1
"AC003101.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003102.1",344,507,246,89,211,120,381,244,339,173,237,221,161,267,176,188,521,204,580,206
"AC003659.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003666.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003669.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AC003681.1",443,771,166,231,252,110,637,249,125,82,399,125,146,306,298,413,30,310,1785,96
"AC003682.1",1,0,4,3,2,3,5,4,0,1,2,1,4,4,1,5,0,1,3,3
"AC003684.1",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC003685.1",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003685.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003686.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC003687.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003688.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC003688.2",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003956.1",3,6,1,49,5,4,14,2,3,3,7,6,17,3,6,4,2,7,41,0
"AC003957.1",4,32,1,6,14,1,1,2,1,1,9,3,5,1,1,6,0,10,1,0
"AC003958.1",0,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,1
"AC003958.2",0,15,1,2,0,4,2,8,8,2,3,3,0,0,4,0,1,22,0,5
"AC003965.1",4,15,39,21,7,39,61,27,36,14,7,55,15,44,8,13,8,15,0,11
"AC003965.2",9,18,16,8,10,8,10,15,29,1,11,5,2,13,4,11,9,7,1,6
"AC003973.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003973.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"AC003973.3",72,39,13,81,505,59,879,196,55,70,325,9,156,49,203,443,51,187,30,224
"AC003975.1",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"AC003982.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003984.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003985.1",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC003985.2",1,0,0,1,1,1,0,0,0,0,4,1,0,1,1,0,0,0,6,0
"AC003986.1",0,0,0,0,5,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0
"AC003986.2",5,28,1,7,120,26,6,0,8,1,31,6,11,2,10,2,9,6,8,7
"AC003986.3",2,4,0,0,7,4,0,0,1,2,3,2,1,0,2,1,1,1,0,1
"AC003988.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003989.1",1,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,138,0
"AC003989.2",0,1,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,123,0
"AC003991.1",14,21,8,51,11,0,12,14,0,2,38,0,3,34,6,10,0,7,57,4
"AC003991.2",6,2,0,11,4,4,6,1,4,2,5,0,0,6,1,2,2,3,1,0
"AC004000.1",5,10,3,3,9,0,6,7,16,5,11,65,18,19,4,0,9,0,54,4
"AC004004.1",1,0,0,0,1,1,0,2,1,0,1,0,0,0,2,0,0,0,0,0
"AC004006.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004009.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004009.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004009.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004012.1",2,4,0,3,5,1,4,8,0,0,1,0,0,12,7,0,2,1,2,3
"AC004014.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004014.2",0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,7,0
"AC004022.1",3,11,0,0,0,1,4,1,0,0,0,0,0,1,0,2,0,0,61,0
"AC004022.2",0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,46,0
"AC004023.1",7,4,2,3,0,3,1,1,0,2,11,0,0,0,1,0,2,7,3,0
"AC004024.1",5,4,1,0,4,3,3,6,1,0,3,2,4,9,3,0,0,11,9,2
"AC004034.1",6,19,4,3,15,5,16,4,6,8,7,3,11,4,10,8,0,4,18,4
"AC004039.1",17,28,23,10,7,13,35,17,10,3,20,6,5,24,11,32,10,11,54,5
"AC004052.1",1,0,1,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0
"AC004053.1",0,0,12,3,0,0,2,0,0,0,2,1,1,0,0,0,1,3,0,0
"AC004054.1",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004057.1",1,6,4,0,3,5,8,2,1,2,3,18,3,5,0,13,0,0,0,0
"AC004062.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004063.1",0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0
"AC004066.1",4,2,2,1,0,0,2,2,2,0,4,0,3,4,0,2,0,0,0,0
"AC004066.2",13,16,4,27,8,1,11,29,5,0,12,0,21,33,10,9,3,5,11,11
"AC004067.1",22,72,24,43,55,38,99,28,37,24,49,15,71,117,36,56,51,63,23,36
"AC004069.1",8,4,28,10,26,17,6,10,11,6,21,19,11,7,8,2,70,7,4,6
"AC004069.2",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AC004074.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004076.1",10,18,1,6,5,1,1,12,14,0,3,2,4,1,0,1,2,0,0,4
"AC004076.2",104,87,47,25,58,68,219,59,77,33,47,122,132,137,39,82,36,22,62,34
"AC004080.1",6,0,7,1,1,0,0,2,1,0,2,0,0,2,0,0,4,0,0,0
"AC004080.2",1,1,1,0,1,0,0,1,1,1,0,6,0,2,0,0,85,0,0,2
"AC004080.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004080.4",0,3,10,0,1,3,0,2,0,0,2,0,0,0,5,0,0,0,0,0
"AC004080.5",0,1,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1
"AC004080.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AC004112.1",14,13,2,2,3,0,7,8,5,1,8,2,8,7,4,9,0,5,8,4
"AC004129.1",2,0,1,2,0,1,0,0,1,2,3,2,0,3,1,8,0,0,0,0
"AC004129.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004130.1",10,51,16,47,57,76,54,139,121,28,158,16,60,157,64,4,101,63,10,52
"AC004134.1",4,4,0,4,0,0,5,3,7,0,1,1,0,0,2,1,0,1,20,1
"AC004147.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004147.2",0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
"AC004147.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004147.4",4,1,0,0,4,3,85,0,0,0,1,0,0,0,0,0,0,1,0,1
"AC004147.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004148.1",0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
"AC004148.2",257,456,387,182,297,585,354,574,503,306,399,330,202,550,308,131,314,204,105,71
"AC004156.1",31,35,10,1,9,2,16,17,11,2,16,3,2,20,9,16,4,7,7,15
"AC004158.1",0,0,0,0,0,0,3,1,0,0,1,2,1,0,0,0,0,1,20,0
"AC004160.1",20,21,4,26,89,24,44,3,61,3,32,5,100,28,14,10,11,24,137,68
"AC004160.2",1,8,1,4,16,4,7,3,2,1,3,2,16,5,0,1,6,0,18,9
"AC004217.1",0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,5,0
"AC004217.2",0,1,0,0,1,0,2,1,0,0,0,2,1,0,0,0,0,0,38,0
"AC004221.1",2,16,14,0,2,2,7,12,0,0,8,0,5,5,3,10,3,0,0,1
"AC004223.1",0,2,0,0,1,0,6,0,1,0,2,1,2,2,0,1,0,2,38,2
"AC004223.2",5,2,1,5,9,1,30,2,5,4,3,2,14,3,1,1,7,2,80,0
"AC004223.3",14,15,8,6,13,5,146,8,8,6,8,1,5,11,9,4,9,14,55,9
"AC004224.1",1,3,2,1,0,1,0,1,3,1,1,0,0,1,1,7,0,2,0,3
"AC004224.2",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AC004231.1",2,11,0,10,9,2,46,26,19,7,17,3,5,28,12,5,19,68,1,18
"AC004231.3",0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0,0
"AC004232.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004232.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004232.3",30,21,15,7,21,49,51,29,76,19,21,55,59,24,12,13,20,20,30,16
"AC004233.1",3,19,9,4,6,2,7,26,34,2,12,24,9,20,7,9,3,0,10,11
"AC004233.2",4,4,4,5,2,2,12,1,13,37,2,2,1,11,9,0,2,1,1,32
"AC004233.3",63,125,64,38,155,58,90,254,218,94,40,284,66,195,64,86,78,30,50,134
"AC004233.4",4,1,2,1,2,0,7,4,5,5,4,1,2,0,1,4,2,2,0,3
"AC004241.1",19,70,78,28,50,21,34,46,23,29,72,35,47,41,30,18,37,30,30,18
"AC004241.2",8,8,4,6,15,5,2,11,7,1,13,0,6,4,7,1,4,9,39,4
"AC004241.3",17,13,12,30,22,8,11,22,16,10,7,25,13,36,13,5,13,29,5,3
"AC004241.4",4,9,3,2,3,3,2,20,7,2,5,12,0,1,3,5,7,2,16,2
"AC004241.5",11,26,14,9,33,9,6,30,11,2,47,2,13,17,9,11,7,23,65,5
"AC004253.1",51,42,39,37,56,27,37,39,54,27,59,16,37,39,30,17,37,24,41,11
"AC004253.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AC004257.1",1,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,1,0,2,0
"AC004263.1",8,11,14,18,10,3,12,20,4,5,8,44,2,9,9,3,19,10,22,1
"AC004264.1",2,9,0,44,17,2,4,7,18,4,19,2,1,13,9,4,4,11,9,7
"AC004264.2",9,23,4,18,13,0,2,26,7,2,20,4,5,7,12,14,2,35,14,2
"AC004381.1",2,5,0,5,1,0,4,3,0,1,3,0,0,1,3,0,3,2,0,0
"AC004383.1",3,12,5,8,5,3,9,1,5,4,11,1,15,10,5,5,0,3,7,3
"AC004386.1",2,0,4,1,0,5,2,1,2,0,3,9,3,3,1,9,2,1,4,1
"AC004386.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004408.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004408.2",0,2,1,0,2,1,0,0,0,0,0,1,0,0,0,1,0,3,3,0
"AC004415.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004448.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004448.2",4,0,1,4,1,0,2,0,0,1,15,2,9,2,0,0,2,1,15,1
"AC004448.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AC004449.1",8,4,2,0,2,5,7,5,11,5,6,5,3,3,3,4,7,0,21,6
"AC004453.1",47,57,113,51,591,108,101,148,160,23,119,119,98,93,66,245,61,39,43,23
"AC004453.2",11,6,2,7,5,8,6,21,1,5,4,0,7,3,7,4,0,1,15,2
"AC004461.1",0,0,1,2,1,0,1,0,2,2,1,4,1,1,0,1,1,0,10,1
"AC004461.2",11,23,6,9,7,2,10,7,7,3,14,4,3,11,6,12,0,7,51,2
"AC004466.1",7,10,6,5,11,9,5,12,5,2,14,7,3,10,7,6,6,1,7,5
"AC004466.2",3,18,15,6,6,9,3,13,13,3,18,10,2,14,3,2,6,7,20,7
"AC004466.3",14,34,10,5,12,8,19,11,6,5,51,0,9,10,23,4,2,5,16,5
"AC004467.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AC004470.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004471.1",2,8,7,9,8,8,0,13,6,0,7,12,7,4,3,3,4,4,10,0
"AC004471.2",3,3,2,1,3,1,1,7,1,1,4,10,6,4,5,3,5,8,0,3
"AC004477.1",51,77,42,18,12,35,96,60,26,27,44,79,26,59,29,16,30,25,46,28
"AC004477.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004477.3",26,16,12,6,14,29,112,20,16,9,38,44,28,21,16,26,11,20,40,13
"AC004485.1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC004486.1",35,3,1,0,7,4,1,2,8,1,2,3,0,12,1,3,1,3,12,1
"AC004490.1",1,18,3,3,25,14,2,1,4,3,4,11,5,3,2,2,4,3,40,0
"AC004491.1",0,0,0,0,0,0,4,0,0,0,0,5,4,0,0,1,1,0,70,0
"AC004492.1",37,74,9,30,24,15,65,32,13,12,56,15,22,41,25,58,15,50,121,18
"AC004494.1",22,95,9,11,77,12,24,19,7,30,27,23,11,16,29,19,2,27,118,9
"AC004494.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004522.1",1,2,2,9,5,22,0,32,59,1,6,13,9,8,13,22,0,35,0,1
"AC004522.2",9,25,7,3,1,6,10,32,7,1,13,5,2,12,12,20,1,7,55,3
"AC004528.1",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0
"AC004528.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004540.1",155,256,24,38,109,244,244,291,213,120,160,136,219,50,60,51,20,168,56,126
"AC004540.2",52,22,9,19,21,37,5,21,8,7,17,10,34,7,25,4,3,16,1,9
"AC004542.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004542.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004543.1",0,0,1,2,8,8,5,4,3,0,1,0,3,7,5,0,1,1,0,5
"AC004551.1",1,21,1,1,2,0,0,0,0,1,0,0,0,1,1,0,0,8,3,0
"AC004552.1",2,4,3,13,10,30,17,13,5,4,12,25,6,4,2,50,1,2,0,3
"AC004554.1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"AC004584.1",9,6,4,5,1,3,17,12,3,4,8,1,8,8,7,4,0,4,2,6
"AC004584.2",1,0,0,0,2,1,1,2,1,2,0,5,3,0,0,0,8,2,0,0
"AC004584.3",5,32,0,3,5,0,1,8,1,2,10,3,0,4,3,3,0,13,35,2
"AC004585.1",10,89,6,50,461,37,349,12,28,289,44,37,233,73,32,19,42,91,45,45
"AC004585.2",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,80,0
"AC004590.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004593.1",0,0,0,0,0,0,10,0,0,0,1,1,0,0,3,0,0,0,21,1
"AC004594.1",43,9,5,17,10,4,52,18,9,8,25,19,5,21,15,35,6,8,141,7
"AC004596.1",54,46,16,9,12,11,12,17,20,4,13,3,2,23,12,21,4,23,13,8
"AC004597.1",1,7,0,1,0,0,0,10,0,0,1,10,0,0,8,0,4,0,0,0
"AC004623.1",33,41,6,7,32,19,11,14,32,6,31,9,4,16,32,8,1,6,10,7
"AC004637.1",3,1,2,8,0,0,1,24,2,1,21,2,0,2,12,2,0,12,14,3
"AC004656.1",2038,3854,2286,1198,2084,2018,4913,4340,1163,977,3288,2769,3989,4300,2095,2011,554,1048,845,1538
"AC004672.1",0,1,0,2,0,1,6,0,1,1,2,2,1,5,0,0,0,3,86,0
"AC004672.2",0,0,0,0,0,0,1,3,0,1,0,3,2,0,0,0,1,0,27,1
"AC004674.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004678.1",8,9,5,7,3,7,13,5,1,2,2,16,1,3,3,4,0,7,194,8
"AC004678.2",11,8,2,2,3,5,8,2,3,2,5,8,2,7,4,3,4,3,39,6
"AC004687.1",22,364,45,246,1251,63,11,35,115,420,209,318,50,148,46,9,41,46,136,39
"AC004690.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004690.2",0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"AC004691.1",1,3,0,4,1,0,1,3,2,0,4,3,0,2,0,4,0,0,66,0
"AC004691.2",0,3,1,2,1,1,0,1,0,0,1,0,0,2,4,1,0,5,0,1
"AC004692.1",0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"AC004692.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AC004696.1",1,7,7,10,10,7,14,18,0,0,11,3,0,3,7,0,5,3,6,2
