"","TCGA-C8-A3M8-01A-11R-A213-07","TCGA-A7-A3J1-01A-11R-A213-07","TCGA-BH-A8FY-01A-11R-A36F-07","TCGA-BH-A8FZ-01A-11R-A352-07","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-OL-A66J-01A-11R-A29R-07","TCGA-EW-A1J3-01A-11R-A13Q-07","TCGA-E2-A14U-01A-11R-A22K-07","TCGA-B6-A40B-01A-11R-A239-07","TCGA-GM-A2DO-01A-11R-A18M-07","TCGA-LL-A440-01A-11R-A24H-07","TCGA-E2-A576-01A-11R-A31O-07","TCGA-E2-A1IH-01A-11R-A13Q-07","TCGA-B6-A0IP-01A-11R-A034-07","TCGA-D8-A4Z1-01A-21R-A266-07","TCGA-AR-A2LE-01A-11R-A180-07","TCGA-WT-AB44-01A-11R-A41B-07","TCGA-AR-A1AK-01A-21R-A12P-07","TCGA-AC-A3QQ-01B-06R-A22O-07","TCGA-E2-A1IJ-01A-11R-A144-07"
"AC000077.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC000078.1",19,56,8,22,10,13,62,15,2,4,52,12,10,15,19,25,0,21,8,4
"AC000081.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC000089.1",36,58,81,38,63,53,109,69,80,20,63,180,93,100,43,123,86,26,24,18
"AC000095.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC000099.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"AC000111.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC000111.2",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"AC000120.1",16,39,12,17,13,7,22,16,7,2,31,6,8,14,17,10,0,24,77,1
"AC000123.1",71,45,19,17,58,23,111,67,21,37,76,12,94,101,48,31,16,30,126,29
"AC000123.2",45,33,35,20,55,19,100,43,34,29,47,41,87,52,28,18,35,15,35,24
"AC000123.3",391,487,45,161,154,113,287,194,114,46,265,77,273,407,128,271,44,185,1106,114
"AC000124.1",25,0,6,51,3,0,7,1,3,0,3,2,18,3,1,0,8,2,0,0
"AC000362.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AC000367.1",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
"AC000372.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC000374.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC000403.1",72,80,3,52,136,64,42,60,41,16,117,19,168,37,45,24,25,77,62,38
"AC001226.1",2,17,4,6,2,10,11,7,4,4,9,7,3,13,6,9,11,2,11,2
"AC002044.1",5,4,2,0,7,3,2,2,0,5,2,30,1,5,0,0,10,0,7,1
"AC002044.2",1,4,5,1,5,8,5,10,4,7,2,131,19,14,1,1,6,1,37,9
"AC002044.3",2,3,1,0,0,0,3,3,0,1,0,4,4,1,0,0,0,1,28,0
"AC002056.1",5,1,1,2,7,4,2,1,3,1,0,8,5,2,1,4,0,0,0,0
"AC002056.2",0,1,1,0,3,0,1,3,0,1,1,0,0,1,5,2,1,7,7,0
"AC002059.1",12,22,34,3,21,12,20,18,16,64,26,19,7,7,14,12,13,18,3,4
"AC002064.1",4,46,52,35,12,4,27,8,7,3,18,0,5,14,18,2,0,8,32,2
"AC002064.2",16,57,12,18,8,3,52,29,13,1,36,1,7,47,6,8,0,9,163,6
"AC002064.3",0,0,1,0,0,2,0,1,0,1,0,1,0,1,0,0,1,1,3,0
"AC002066.1",4,10,2,1,15,7,0,2,1,0,1,1,2,1,1,0,4,0,0,5
"AC002069.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"AC002069.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002070.1",35,12,11,21,27,19,11,4,17,9,14,39,17,14,10,16,9,17,14,9
"AC002075.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002075.2",16,11,11,8,7,3,13,3,4,6,6,19,11,10,0,15,8,9,1,3
"AC002076.1",3,0,1,1,1,1,1,10,1,0,1,1,3,0,4,0,2,0,0,0
"AC002076.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002090.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC002091.1",12,35,12,12,33,8,15,12,10,22,45,6,26,14,8,6,0,32,3,17
