"","gene_id","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"21951","ENSG00000259713.1","AC013391.2",0.4126713,-0.6337799,0.4153401,-1.52593,0.1270273,0.2601087
"21952","ENSG00000259717.1","LINC00677",1.811004,-0.005782317,0.2630628,-0.02198075,0.9824633,0.9913246
"21953","ENSG00000259721.1","AC090877.2",7.048321,0.7163611,0.1832684,3.908808,9.275259e-05,0.0008930069
"21954","ENSG00000259722.2","AC087465.1",0.281766,-0.0660588,0.7287014,-0.09065277,0.9277685,NA
"21955","ENSG00000259723.1","AL354993.2",2.185563,-0.5183656,0.4229438,-1.225613,0.2203442,0.3850767
"21956","ENSG00000259724.1","LINC01581",0.3151994,-0.6056005,0.5096819,-1.188193,0.2347574,NA
"21957","ENSG00000259725.1","AC106738.2",118.5527,0.0752889,0.1933508,0.3893902,0.6969875,0.8165429
"21958","ENSG00000259726.1","CSPG4P11",0.7186863,0.1099365,0.2899484,0.3791587,0.70457,0.8217983
"21959","ENSG00000259727.1","AC103740.2",19.27506,-1.066834,0.2246419,-4.749042,2.043827e-06,3.753944e-05
"21960","ENSG00000259730.1","AC092078.1",0.1232236,0.2292709,1.23776,0.1852304,0.8530483,NA
"21961","ENSG00000259731.2","AC022929.1",0.1544165,0.0720574,1.338195,0.05384672,0.9570573,NA
"21962","ENSG00000259732.1","AC092757.2",5.68825,0.08304702,0.1593431,0.5211836,0.6022389,0.7454798
"21963","ENSG00000259735.1","AC092868.2",1.031899,0.6041521,0.322339,1.874276,0.06089244,0.1512887
"21964","ENSG00000259736.1","CRTC3-AS1",19.92986,-0.04447406,0.1033104,-0.4304897,0.6668394,0.7951201
"21965","ENSG00000259738.1","ZNF444P1",0.7422007,0.5370596,0.2777136,1.933862,0.05313014,0.1367225
"21966","ENSG00000259740.1","AC009558.2",0.07682548,-0.08248701,1.176787,-0.07009513,0.9441179,NA
"21967","ENSG00000259742.1","AC090888.3",0.1772292,-0.07755438,1.052508,-0.0736853,0.9412608,NA
"21968","ENSG00000259744.1","AC009269.4",2.22509,0.2612986,0.2285257,1.14341,0.2528685,0.4243943
"21969","ENSG00000259746.1","HSPE1P3",6.766365,-0.2935844,0.1354314,-2.167771,0.03017608,0.08894818
"21970","ENSG00000259749.1","NCAPGP2",0.1765903,-0.5559345,0.9075928,-0.6125374,0.5401823,NA
"21971","ENSG00000259750.1","AC092868.3",0.6687976,0.6249507,0.2650924,2.357482,0.01839933,0.06120349
"21972","ENSG00000259751.1","AC018868.2",4.235437,-0.2775938,0.182981,-1.517063,0.1292507,0.2633079
"21973","ENSG00000259753.1","AC068234.1",0.07100161,-0.1030381,1.129361,-0.09123573,0.9273053,NA
"21974","ENSG00000259754.1","AC092078.2",0.04873515,0.1345323,1.503456,0.08948199,0.9286989,NA
"21975","ENSG00000259755.1","AC090907.2",7.287845,-0.2828529,0.184398,-1.533926,0.1250479,0.2571488
"21976","ENSG00000259756.1","AC100839.1",0.8260213,-0.9628233,0.4332558,-2.222298,0.0262632,0.08006409
"21977","ENSG00000259757.1","AC091891.1",16.14616,0.6335567,0.2668962,2.373795,0.01760633,0.0591813
"21978","ENSG00000259759.1","AC007907.1",0.7394391,-0.3883548,0.407977,-0.9519036,0.3411459,0.5188407
"21979","ENSG00000259760.1","AC015660.2",2.804245,0.4194433,0.2677282,1.566676,0.1171905,0.2449547
"21980","ENSG00000259761.1","AC078905.1",0.1149247,0.1197375,0.8158578,0.1467627,0.8833193,NA
"21981","ENSG00000259762.1","AC021739.5",5.50501,0.377823,0.1367102,2.763678,0.005715392,0.02472487
"21982","ENSG00000259764.1","PCSK6-AS1",1.1313,-0.2939727,0.3422699,-0.8588916,0.3904003,0.5660979
"21983","ENSG00000259767.1","AC022558.1",7.388025,0.1191343,0.13317,0.8946027,0.3709995,0.5476345
"21984","ENSG00000259768.5","AC004943.2",163.9651,-0.2991885,0.09182238,-3.258339,0.001120663,0.006747846
"21985","ENSG00000259770.2","AC015871.1",0.2783408,-0.2827229,0.4330272,-0.6528987,0.5138216,NA
"21986","ENSG00000259771.1","AC092756.1",3.361915,0.002588381,0.2054034,0.01260145,0.9899458,0.9948932
"21987","ENSG00000259773.1","AC012100.2",0.3819946,0.4785379,0.407456,1.174453,0.2402136,NA
"21988","ENSG00000259774.1","AC243562.3",1.735133,0.1012906,0.2572043,0.3938138,0.6937185,0.8141388
"21989","ENSG00000259775.1","AL138976.2",47.61576,0.0001273162,0.1036658,0.001228141,0.9990201,0.9994336
"21990","ENSG00000259776.1","AC093426.1",0.2408129,0.2195132,0.5554264,0.3952157,0.6926837,NA
"21991","ENSG00000259779.1","LINC01922",0.2039158,0.1709033,0.6151818,0.2778094,0.7811587,NA
"21992","ENSG00000259780.3","AC009065.1",5.811324,0.9228646,0.2097725,4.399359,1.085709e-05,0.0001518125
"21993","ENSG00000259781.1","HMGB1P6",527.957,-0.2760653,0.08361237,-3.301728,0.0009609115,0.005945627
"21994","ENSG00000259782.2","AC008915.1",3.29868,0.3238636,0.190192,1.702824,0.08860093,0.1999942
"21995","ENSG00000259784.1","AC093525.1",0.4487314,-0.07662681,0.3409506,-0.2247446,0.822178,0.8983281
"21996","ENSG00000259788.1","AL596325.1",0.6088522,0.6079704,0.3202824,1.898233,0.05766546,0.1453728
"21997","ENSG00000259790.1","ANP32BP1",3.47328,-0.1275811,0.147917,-0.8625183,0.3884024,0.5641444
"21998","ENSG00000259791.1","AC092325.1",0.4451187,-0.8731999,0.5041381,-1.732065,0.08326201,0.1910442
"21999","ENSG00000259792.1","AC104758.2",6.300047,0.5611349,0.1511114,3.713386,0.0002045045,0.001689208
"22000","ENSG00000259793.1","AC013726.1",173.7806,1.043348,0.2011578,5.186713,2.140379e-07,5.798643e-06
"22001","ENSG00000259797.1","AC020978.1",2.857781,0.2976733,0.2292781,1.298306,0.1941821,0.3524801
"22002","ENSG00000259798.1","AC138625.1",2.074068,-0.418364,0.2817158,-1.485057,0.1375287,0.2756793
"22003","ENSG00000259802.1","AC012640.2",93.33677,-0.1543232,0.09967513,-1.548262,0.1215593,0.2518291
"22004","ENSG00000259804.1","AC027682.1",9.408325,0.1488961,0.1446364,1.029451,0.3032676,0.4800404
"22005","ENSG00000259805.1","AC022558.2",0.7025326,0.612196,0.3631943,1.685588,0.09187517,0.2054571
"22006","ENSG00000259807.1","AC009093.1",95.48359,-0.001358571,0.1395955,-0.009732203,0.9922349,0.995911
"22007","ENSG00000259810.2","AC002519.1",7.52962,-0.1793072,0.1870172,-0.9587739,0.3376727,0.5152054
"22008","ENSG00000259813.1","AC138028.3",0.2731876,0.2278498,0.4135012,0.5510258,0.581616,NA
"22009","ENSG00000259814.1","AC102941.1",0.06336494,0.2446869,1.397861,0.1750438,0.8610452,NA
"22010","ENSG00000259815.1","AC099793.1",0.2905537,0.2550865,0.5259497,0.4850017,0.6276752,NA
"22011","ENSG00000259818.1","AL606760.3",2.08987,-0.2652939,0.2048604,-1.294999,0.1953207,0.3540072
"22012","ENSG00000259820.1","AC083843.2",384.1346,-0.2437265,0.1414607,-1.722927,0.08490175,0.1938766
"22013","ENSG00000259821.1","AC018845.1",0.134408,-0.1850001,0.7329334,-0.2524106,0.8007237,NA
"22014","ENSG00000259826.1","AC072061.1",53.72442,0.1286213,0.08959191,1.435635,0.1511063,0.2949691
"22015","ENSG00000259828.1","AL355596.1",0.7970196,-0.9084929,0.4139941,-2.194458,0.02820248,0.08447753
"22016","ENSG00000259831.1","LINC00567",3.789644,-0.1824817,0.1579991,-1.154954,0.2481092,0.4184795
"22017","ENSG00000259832.1","CYP4A26P",0.1938816,0.2943643,0.8928449,0.3296926,0.7416323,NA
"22018","ENSG00000259834.1","AL365361.1",199.9057,0.1371798,0.176294,0.7781309,0.4364919,0.6088755
"22019","ENSG00000259836.1","AGGF1P6",0.07834583,0.02848729,1.805321,0.01577963,0.9874102,NA
"22020","ENSG00000259838.1","ELOCP2",2.010701,-0.385889,0.1849449,-2.086508,0.03693265,0.1038955
"22021","ENSG00000259840.1","Z97653.1",18.63026,0.4434457,0.1586401,2.795294,0.005185259,0.02286508
"22022","ENSG00000259842.2","IGHV3OR16-16",1.297547,0.4749233,0.2988602,1.589115,0.1120343,0.2372335
