ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000010256.9,8174.145735,-0.102035443,0.071467177,-1.427724543,0.153371159,0.297973887
ENSG00000010270.12,1681.461068,-0.11702184,0.048093115,-2.433234809,0.014964593,0.052415038
ENSG00000010278.10,24083.07562,-0.142043979,0.079074493,-1.796331214,0.072441856,0.172354803
ENSG00000010282.13,5.867591781,0.894757684,0.256354186,3.490318212,0.000482446,0.00339426
ENSG00000010292.11,4969.747453,-0.388891258,0.088861118,-4.376393934,1.21E-05,0.000166213
ENSG00000010295.18,676.076244,0.400917889,0.095299971,4.20690464,2.59E-05,0.000313273
ENSG00000010310.7,243.3510566,0.931172949,0.159317148,5.844775427,5.07E-09,2.60E-07
ENSG00000010318.18,330.2666128,0.134850725,0.081839568,1.64774484,0.099405042,0.217705581
ENSG00000010319.5,1754.268647,0.51029017,0.120330721,4.240730598,2.23E-05,0.000275837
ENSG00000010322.14,6060.940948,0.312743465,0.056900913,5.496281983,3.88E-08,1.40E-06
ENSG00000010327.9,3371.17976,0.439203629,0.09671225,4.541344331,5.59E-06,8.76E-05
ENSG00000010361.12,1293.834023,0.22070144,0.091650589,2.408074431,0.016036911,0.055209317
ENSG00000010379.14,3.764340116,0.316063755,0.194708623,1.623265318,0.1045327,0.225804524
ENSG00000010404.16,6894.578492,-0.009607269,0.066803445,-0.143813977,0.885647366,0.937150782
ENSG00000010438.15,15.13577541,-1.525407501,0.254266643,-5.999243493,1.98E-09,1.21E-07
ENSG00000010539.10,767.3195459,-0.220807026,0.046496155,-4.748930871,2.04E-06,3.75E-05
ENSG00000010610.8,4188.184834,0.009699827,0.118638649,0.081759416,0.934838029,0.964710115
ENSG00000010626.13,661.8082781,0.222385408,0.09228824,2.409683043,0.015966385,0.055000494
ENSG00000010671.14,617.5109786,0.116483992,0.113329891,1.027831148,0.304029262,0.48089477
ENSG00000010704.17,1116.513399,0.079875232,0.090192175,0.885611553,0.375826884,0.552335973
ENSG00000010803.15,2810.825525,-0.0830401,0.055206297,-1.504178062,0.132535525,0.268219946
ENSG00000010810.16,2000.183026,0.006254967,0.09905796,0.063144515,0.949651427,0.97276622
ENSG00000010818.7,2227.639751,-0.328370578,0.099408778,-3.303235243,0.000955762,0.00591771
ENSG00000010932.14,434.777532,-0.426041236,0.162125066,-2.627855437,0.008592502,0.034010826
ENSG00000011007.11,3308.879019,-0.266844761,0.046171394,-5.779439088,7.50E-09,3.59E-07
ENSG00000011009.9,3981.176501,-0.171748791,0.074779156,-2.296746858,0.021633215,0.069086032
ENSG00000011021.20,1069.255676,0.245730782,0.05529926,4.443654041,8.84E-06,0.000128029
ENSG00000011028.12,9457.017546,0.066732588,0.113524716,0.587824313,0.556650223,0.709576565
ENSG00000011052.20,53.50391316,-0.153567597,0.159109327,-0.965170306,0.334459517,0.512025063
ENSG00000011083.7,11.52204114,0.147146219,0.19490583,0.754960585,0.450272632,0.621166253
ENSG00000011105.10,6002.008227,-0.02333584,0.072885661,-0.320170523,0.748839067,0.850917794
ENSG00000011114.13,2649.391821,-0.056039936,0.066760452,-0.839418153,0.401234701,0.576292286
ENSG00000011132.10,849.5568473,0.327817615,0.072763656,4.505238387,6.63E-06,0.000100679
ENSG00000011143.15,1147.415546,0.064464267,0.067061859,0.96126573,0.336418574,0.513962441
ENSG00000011198.6,1213.14793,-0.39016223,0.066987953,-5.82436412,5.73E-09,2.89E-07
ENSG00000011201.9,1792.416359,-0.20949961,0.134633809,-1.556069845,0.119691485,0.248902143
